,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,docs_url
36,pydantic-spark,godatadriven/pydantic-spark,pydantic-spark,[],data-structures,https://github.com/godatadriven/pydantic-spark,https://github.com/godatadriven/pydantic-spark,MIT,2022-02-03 10:43:26,2024-03-04 14:43:25,2023-11-24 15:12:46,33,,8.0,3.0,41.0,1.0,2.0,24,2023-11-24 15:13:57,1.0.1,3.0,,9.0,9.0,6.0,https://pypi.org/project/pydantic-spark,74896.0,74896.0,14,False,3,,,,
37,mongox,aminalaee/mongox,mongox,[],databases-document,https://github.com/aminalaee/mongox,https://github.com/aminalaee/mongox,MIT,2021-11-12 09:49:07,2023-03-01 09:00:21,2022-11-09 08:50:55,61,,7.0,6.0,84.0,4.0,13.0,122,2022-11-09 08:51:02,0.1.2,6.0,Familiar async Python MongoDB ODM.,6.0,6.0,8.0,https://pypi.org/project/mongox,144.0,144.0,12,True,3,,,,
38,pydantic-numpy,cheind/pydantic-numpy,pydantic-numpy,[],data-structures,https://github.com/cheind/pydantic-numpy,https://github.com/cheind/pydantic-numpy,MIT,2022-03-25 04:15:58,2022-12-09 11:37:55,2022-12-09 11:37:52,55,,3.0,3.0,7.0,3.0,3.0,57,,,,Seamlessly integrate numpy arrays into pydantic models.,,,5.0,https://pypi.org/project/pydantic-numpy,51977.0,51977.0,12,True,3,,,,
39,xsdata-pydantic,tefra/xsdata-pydantic,xsdata-pydantic,[],xml,https://github.com/tefra/xsdata-pydantic,https://github.com/tefra/xsdata-pydantic,MIT,2021-11-04 11:15:58,2024-06-24 05:31:40,2024-06-24 05:31:40,31,,8.0,3.0,16.0,3.0,12.0,46,2024-05-08 17:44:08,24.5,2.0,Naive XML & JSON Bindings for python pydantic classes!.,,,2.0,https://pypi.org/project/xsdata-pydantic,5913.0,5913.0,12,True,3,,,,
40,nebula-carina,nebula-contrib/nebula-carina,nebula-carina,[],databases-graph,https://github.com/nebula-contrib/nebula-carina,https://github.com/nebula-contrib/nebula-carina,MIT,2022-06-03 14:45:40,2024-09-30 02:52:04,2024-09-30 02:50:14,141,7.0,8.0,7.0,11.0,8.0,9.0,37,2023-02-20 14:39:56,release-0.3.1,6.0,A pydantic based python ORM framework for graph database NebulaGraph 3.,1.0,1.0,7.0,https://pypi.org/project/nebula-carina,67.0,67.0,11,True,1,,,1.0,
41,pydantic-geojson,gb-libs/pydantic-geojson,pydantic-geojson,[],geojson,https://github.com/gb-libs/pydantic-geojson,https://github.com/gb-libs/pydantic-geojson,MIT,2022-01-18 09:59:26,2024-05-13 07:30:55,2024-01-22 06:54:27,59,,6.0,1.0,20.0,3.0,7.0,27,,,,Pydantic validation for GeoJson.,,,6.0,https://pypi.org/project/pydantic-geojson,27729.0,27729.0,11,True,3,,,,
42,sanic-pydantic,nf1s/sanic-pydantic,sanic-pydantic,[],http-server-integrations,https://github.com/nf1s/sanic-pydantic,https://github.com/nf1s/sanic-pydantic,MIT,2020-04-03 08:24:55,2023-02-11 01:45:39,2022-05-12 19:27:29,87,,3.0,,21.0,,5.0,7,2021-10-14 08:22:48,1.2.1,3.0,A library for parsing and validating http requests for sanic web-framework using pydantic library.,,,3.0,https://pypi.org/project/sanic-pydantic,302.0,302.0,11,True,3,,,,
43,pydantic_schemaorg,lexiq-legal/pydantic_schemaorg,pydantic_schemaorg,[],schemas,https://github.com/lexiq-legal/pydantic_schemaorg,https://github.com/lexiq-legal/pydantic_schemaorg,MIT,2021-11-29 14:51:59,2022-12-12 20:58:08,2022-02-18 19:47:31,62,,9.0,1.0,2.0,7.0,4.0,57,2022-02-18 19:48:32,1.0.6a2,14.0,Schema.org classes in pydantic.,,,,https://pypi.org/project/pydantic_schemaorg,488.0,488.0,10,True,1,,,,
44,neontology,ontolocy/neontology,neontology,[],databases-graph,https://github.com/ontolocy/neontology,https://github.com/ontolocy/neontology,MIT,2022-08-09 14:03:49,2024-08-16 09:45:06,2024-04-28 10:10:18,57,,7.0,3.0,29.0,1.0,1.0,35,,,,"Easily ingest data into a Neo4j graph database with Python, pandas and Pydantic.",,,2.0,https://pypi.org/project/neontology,1966.0,1966.0,10,True,3,,,,
45,pydantic-ssm-settings,developmentseed/pydantic-ssm-settings,pydantic-ssm-settings,[],aws,https://github.com/developmentseed/pydantic-ssm-settings,https://github.com/developmentseed/pydantic-ssm-settings,MIT,2021-09-07 20:49:37,2023-12-29 12:15:20,2022-09-26 16:40:54,42,,5.0,3.0,13.0,,2.0,19,2022-09-26 16:39:42,0.2.4,5.0,Replace Pydantics builtin Secret Support with a configuration provider that loads parameters from AWS Systems Manager..,1.0,1.0,4.0,https://pypi.org/project/pydantic-ssm-settings,554.0,555.0,10,True,2,,46.0,,
46,arangodantic,ioxiocom/arangodantic,arangodantic,[],databases-graph,https://github.com/ioxiocom/arangodantic,https://github.com/ioxiocom/arangodantic,BSD-3-Clause,2020-09-29 08:45:54,2024-04-12 08:02:06,2022-08-19 13:21:50,22,,7.0,7.0,18.0,2.0,,13,2022-08-05 10:56:33,0.3.1,3.0,,2.0,2.0,3.0,https://pypi.org/project/arangodantic,293.0,293.0,10,False,3,,,,
47,jsonapi-pydantic,impocode/jsonapi-pydantic,jsonapi-pydantic,[],jsonapi,https://github.com/impocode/jsonapi-pydantic,https://github.com/impocode/jsonapi-pydantic,MIT,2022-07-22 14:48:18,2024-06-23 12:08:37,2024-06-23 12:08:30,32,,1.0,2.0,2.0,,2.0,6,2024-06-14 07:55:24,0.2.5,11.0,jsonapi-pydantic provides a suite of Pydantic models matching the JSON:API specification.,2.0,2.0,,https://pypi.org/project/jsonapi-pydantic,1390.0,1391.0,10,True,1,,48.0,,
48,pydantic-kms-secrets,nplutt/pydantic-kms-secrets,pydantic-kms-secrets,[],aws,https://github.com/nplutt/pydantic-kms-secrets,https://github.com/nplutt/pydantic-kms-secrets,MIT,2020-07-18 03:41:21,2020-08-16 17:36:45,2020-08-16 17:34:46,15,,1.0,1.0,2.0,,,3,2020-08-16 17:36:45,0.3.0,4.0,Utility to decrypt and encrypt secrets using AWS KMS keys that also integrates with pydantic models which allows for..,,,,https://pypi.org/project/pydantic-kms-secrets,1369.0,1369.0,9,True,2,,,,
49,lambdantic,koxudaxi/lambdantic,lambdantic,[],aws,https://github.com/koxudaxi/lambdantic,https://github.com/koxudaxi/lambdantic,MIT,2019-09-08 13:35:27,2020-04-20 16:29:21,2020-04-20 16:27:49,20,,1.0,4.0,7.0,,,16,2020-04-20 16:29:21,0.0.4,4.0,Pydantic model and lambda event handler for AWS Lambda.,,,2.0,https://pypi.org/project/lambdantic,116.0,116.0,7,True,3,,,,
50,pydantic-sqs,andrewthetechie/pydantic-sqs,pydantic-sqs,[],aws,https://github.com/andrewthetechie/pydantic-sqs,https://github.com/andrewthetechie/pydantic-sqs,,2022-10-31 23:59:40,2024-09-09 13:03:45,2024-03-17 22:24:29,271,,,3.0,337.0,3.0,,3,2023-02-19 17:12:21,0.2.0,2.0,Send and receive Pydantic models with AWS SQS.,,,2.0,https://pypi.org/project/pydantic-sqs,10.0,10.0,7,True,3,,,-1.0,
51,aws-appconfig-pydantic,Validus-Risk-Management/aws-appconfig-pydantic,aws-appconfig-pydantic,[],aws,https://github.com/Validus-Risk-Management/aws-appconfig-pydantic,https://github.com/Validus-Risk-Management/aws-appconfig-pydantic,Apache-2.0,2021-09-23 14:21:07,2023-07-24 09:52:27,2023-07-24 09:52:25,28,,2.0,3.0,6.0,,,5,,,,AWS AppConfig + Pydantic.,,,4.0,https://pypi.org/project/aws-appconfig-pydantic,,,6,True,3,,,,
