,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,docs_url,github_release_downloads,trending,updated_github_id
10,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-04-04 12:50:33,2023-04-04 12:49:59,224,51.0,28.0,12.0,63.0,2.0,43.0,134.0,,,,Pydantic data models for the GeoJSON spec.,222.0,222.0,19.0,https://pypi.org/project/geojson-pydantic,57644.0,57644.0,22,True,1,,,-1.0,
11,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-03-31 04:58:18,2023-01-03 19:16:25,478,,70.0,21.0,209.0,42.0,80.0,783.0,2023-01-03 20:08:22,0.9.2,18.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,,17.0,https://pypi.org/project/odmantic,14458.0,14458.0,21,True,3,,,,
12,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120,2.0,25.0,6.0,36.0,10.0,27.0,343.0,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,46.0,46.0,4.0,https://pypi.org/project/djantic,10348.0,10348.0,20,True,2,,,-1.0,
13,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2023-04-05 20:00:09,2023-01-02 16:09:46,148,,38.0,4.0,32.0,15.0,22.0,271.0,,,,flask extension for integration with the awesome pydantic package.,354.0,354.0,12.0,https://pypi.org/project/flask-pydantic,56016.0,56016.0,20,True,2,,,,
14,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/litestar-org/pydantic-factories,https://github.com/litestar-org/pydantic-factories,MIT,2023-03-25 12:51:12,2023-04-03 15:10:03,2023-04-03 15:09:07,309,11.0,,1.0,,,,8.0,2023-04-03 15:10:03,1.17.3,1.0,Simple and powerful mock data generation using pydantic or dataclasses.,374.0,374.0,28.0,https://pypi.org/project/pydantic-factories,149677.0,149677.0,19,True,1,,,,litestar-org/pydantic-factories
15,pydbantic,codemation/pydbantic,pydbantic,[],databases-sql,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-04-03 22:23:48,2023-04-03 22:22:31,158,14.0,11.0,5.0,33.0,3.0,12.0,193.0,2023-04-03 22:23:48,0.0.40,30.0,"A single model for shaping, creating, accessing, storing data within a Database.",7.0,7.0,9.0,https://pypi.org/project/pydbantic,1047.0,1047.0,18,True,3,,,-1.0,
16,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2023-03-15 09:03:14,2023-02-05 07:27:35,101,42.0,6.0,2.0,33.0,4.0,13.0,48.0,2023-02-05 07:29:34,0.6.0,8.0,pydantic xml extension.,13.0,13.0,4.0,https://pypi.org/project/pydantic-xml,13147.0,13147.0,18,True,1,,,-1.0,
17,graphene-pydantic,graphql-python/graphene-pydantic,graphene-pydantic,[],graphql-server-integrations,https://github.com/graphql-python/graphene-pydantic,https://github.com/graphql-python/graphene-pydantic,,2019-06-20 00:49:40,2023-01-31 20:22:55,2023-01-09 02:42:44,186,,38.0,7.0,47.0,10.0,27.0,184.0,2022-01-25 16:40:44,0.2.0,5.0,Integrate GraphQL with your Pydantic models.,,,16.0,https://pypi.org/project/graphene-pydantic,8970.0,8970.0,16,True,3,,,,
18,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2023-04-08 06:04:07,2023-04-08 05:57:03,152,29.0,2.0,3.0,24.0,7.0,12.0,41.0,2023-04-08 06:04:07,0.1.11,28.0,Generator of python HTTP-clients from OpenAPI specification based on httpx and pydantic.,,,7.0,https://pypi.org/project/pythogen,942.0,942.0,15,True,1,,,,
19,patito,kolonialno/patito,patito,[],data-structures,https://github.com/kolonialno/patito,https://github.com/kolonialno/patito,MIT,2022-04-21 08:54:31,2023-04-03 08:11:31,2022-12-15 10:03:27,92,,2.0,24.0,34.0,26.0,2.0,158.0,2022-12-02 17:38:25,0.4.4,20.0,A data modelling layer built on top of polars and pydantic.,1.0,1.0,,https://pypi.org/project/patito,523.0,523.0,14,True,1,,,1.0,
20,pyngo,yezz123/pyngo,pyngo,[],http-server-integrations,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2023-04-10 12:08:38,2023-04-10 12:08:37,81,40.0,5.0,1.0,52.0,,1.0,49.0,2023-04-02 19:16:11,1.6.0,7.0,Pydantic model support for Django & Django-Rest-Framework.,2.0,2.0,5.0,https://pypi.org/project/pyngo,5270.0,5270.0,14,True,3,,,,
21,sanic-pydantic,nf1s/sanic-pydantic,sanic-pydantic,[],http-server-integrations,https://github.com/nf1s/sanic-pydantic,https://github.com/nf1s/sanic-pydantic,MIT,2020-04-03 08:24:55,2023-02-11 01:45:39,2022-05-12 19:27:29,87,,3.0,,21.0,,5.0,6.0,2021-10-14 08:22:48,1.2.1,3.0,A library for parsing and validating http requests for sanic web-framework using pydantic library.,4.0,4.0,3.0,https://pypi.org/project/sanic-pydantic,55.0,55.0,12,True,3,,,,
22,pydantic-spark,godatadriven/pydantic-spark,pydantic-spark,[],data-structures,https://github.com/godatadriven/pydantic-spark,https://github.com/godatadriven/pydantic-spark,MIT,2022-02-03 10:43:26,2023-04-10 16:03:51,2022-10-31 11:41:14,22,,3.0,2.0,35.0,1.0,,15.0,,,,,3.0,3.0,3.0,https://pypi.org/project/pydantic-spark,14217.0,14217.0,11,False,3,,,,
23,aiohttp-pydantic,Maillol/aiohttp-pydantic,aiohttp-pydantic,[],http-server-integrations,https://github.com/Maillol/aiohttp-pydantic,https://github.com/Maillol/aiohttp-pydantic,MIT,2020-10-04 10:32:00,2022-12-19 10:16:06,2022-12-12 06:10:33,81,,14.0,2.0,24.0,7.0,13.0,51.0,,,,Aiohttp View that validates request body and query sting regarding the annotations declared in the View method.,,,7.0,https://pypi.org/project/aiohttp-pydantic,3388.0,3388.0,10,True,3,,,,
24,pydantic_schemaorg,lexiq-legal/pydantic_schemaorg,pydantic_schemaorg,[],schemas,https://github.com/lexiq-legal/pydantic_schemaorg,https://github.com/lexiq-legal/pydantic_schemaorg,MIT,2021-11-29 14:51:59,2022-12-12 20:58:08,2022-02-18 19:47:31,62,,4.0,1.0,2.0,7.0,3.0,37.0,2022-02-18 19:48:32,1.0.6a2,14.0,Schema.org classes in pydantic.,,,,https://pypi.org/project/pydantic_schemaorg,197.0,197.0,10,True,1,,,,
25,nebula-carina,nebula-contrib/nebula-carina,nebula-carina,[],databases-graph,https://github.com/nebula-contrib/nebula-carina,https://github.com/nebula-contrib/nebula-carina,MIT,2022-06-03 14:45:40,2023-02-20 14:39:56,2023-02-17 08:17:25,111,3.0,3.0,5.0,4.0,4.0,4.0,14.0,2023-02-20 14:39:56,release-0.3.1,6.0,A pydantic based python ORM framework for graph database NebulaGraph 3.,,,2.0,https://pypi.org/project/nebula-carina,24.0,24.0,10,True,1,,,,
26,pydantic-geojson,gb-libs/pydantic-geojson,pydantic-geojson,[],geojson,https://github.com/gb-libs/pydantic-geojson,https://github.com/gb-libs/pydantic-geojson,MIT,2022-01-18 09:59:26,2023-04-10 20:55:07,2023-04-10 20:44:25,49,3.0,3.0,1.0,13.0,2.0,7.0,6.0,,,,Pydantic validation for GeoJson.,,,5.0,https://pypi.org/project/pydantic-geojson,4553.0,4553.0,10,True,3,,,,
27,pydantic-numpy,cheind/pydantic-numpy,pydantic-numpy,[],data-structures,https://github.com/cheind/pydantic-numpy,https://github.com/cheind/pydantic-numpy,MIT,2022-03-25 04:15:58,2022-12-09 11:37:55,2022-12-09 11:37:52,55,,2.0,3.0,7.0,2.0,2.0,40.0,,,,Seamlessly integrate numpy arrays into pydantic models.,,,5.0,https://pypi.org/project/pydantic-numpy,2973.0,2973.0,9,True,3,,,,
28,pydantic-ssm-settings,developmentseed/pydantic-ssm-settings,pydantic-ssm-settings,[],aws,https://github.com/developmentseed/pydantic-ssm-settings,https://github.com/developmentseed/pydantic-ssm-settings,MIT,2021-09-07 20:49:37,2022-09-26 16:40:57,2022-09-26 16:40:54,42,,2.0,3.0,9.0,,2.0,13.0,2022-09-26 16:39:42,0.2.4,5.0,Replace Pydantics builtin Secret Support with a configuration provider that loads parameters from AWS Systems Manager..,,,4.0,https://pypi.org/project/pydantic-ssm-settings,914.0,915.0,9,True,2,,10.0,,
29,arangodantic,ioxiocom/arangodantic,arangodantic,[],databases-graph,https://github.com/ioxiocom/arangodantic,https://github.com/ioxiocom/arangodantic,BSD-3-Clause,2020-09-29 08:45:54,2022-11-06 13:35:46,2022-08-19 13:21:50,22,,5.0,5.0,17.0,2.0,,12.0,2022-08-05 10:56:33,0.3.1,3.0,,,,3.0,https://pypi.org/project/arangodantic,58.0,58.0,9,False,3,,,,
30,xsdata-pydantic,tefra/xsdata-pydantic,xsdata-pydantic,[],xml,https://github.com/tefra/xsdata-pydantic,https://github.com/tefra/xsdata-pydantic,MIT,2021-11-04 11:15:58,2023-02-26 18:10:56,2023-02-26 18:10:56,21,1.0,1.0,3.0,7.0,3.0,6.0,20.0,2022-10-02 07:20:59,22.10,1.0,Naive XML & JSON Bindings for python pydantic classes!.,,,,https://pypi.org/project/xsdata-pydantic,346.0,346.0,8,True,3,,,,
31,pydantic-kms-secrets,nplutt/pydantic-kms-secrets,pydantic-kms-secrets,[],aws,https://github.com/nplutt/pydantic-kms-secrets,https://github.com/nplutt/pydantic-kms-secrets,MIT,2020-07-18 03:41:21,2020-08-16 17:36:45,2020-08-16 17:34:46,15,,1.0,1.0,2.0,,,2.0,2020-08-16 17:36:45,0.3.0,4.0,Utility to decrypt and encrypt secrets using AWS KMS keys that also integrates with pydantic models which allows for..,,,,https://pypi.org/project/pydantic-kms-secrets,1377.0,1377.0,8,True,3,,,,
32,jsonapi-pydantic,impocode/jsonapi-pydantic,jsonapi-pydantic,[],jsonapi,https://github.com/impocode/jsonapi-pydantic,https://github.com/impocode/jsonapi-pydantic,MIT,2022-07-22 14:48:18,2022-11-15 13:11:45,2022-11-15 13:11:09,14,,,1.0,,,,,2022-11-15 13:15:24,0.1.5,6.0,jsonapi-pydantic provides a suite of Pydantic models matching the JSON:API specification.,,,,https://pypi.org/project/jsonapi-pydantic,83.0,84.0,8,True,1,,9.0,,
33,lambdantic,koxudaxi/lambdantic,lambdantic,[],aws,https://github.com/koxudaxi/lambdantic,https://github.com/koxudaxi/lambdantic,MIT,2019-09-08 13:35:27,2020-04-20 16:29:21,2020-04-20 16:27:49,20,,1.0,3.0,7.0,,,15.0,2020-04-20 16:29:21,0.0.4,4.0,Pydantic model and lambda event handler for AWS Lambda.,,,2.0,https://pypi.org/project/lambdantic,37.0,37.0,7,True,3,,,,
34,aws-appconfig-pydantic,Validus-Risk-Management/aws-appconfig-pydantic,aws-appconfig-pydantic,[],aws,https://github.com/Validus-Risk-Management/aws-appconfig-pydantic,https://github.com/Validus-Risk-Management/aws-appconfig-pydantic,Apache-2.0,2021-09-23 14:21:07,2022-12-27 17:37:38,2022-10-31 12:00:04,27,,1.0,2.0,5.0,,,4.0,,,,AWS AppConfig + Pydantic.,,,3.0,https://pypi.org/project/aws-appconfig-pydantic,,,5,True,3,,,,
35,neontology,ontolocy/neontology,neontology,[],databases-graph,https://github.com/ontolocy/neontology,https://github.com/ontolocy/neontology,MIT,2022-08-09 14:03:49,2022-11-25 12:36:18,2022-11-25 12:35:37,18,,1.0,2.0,8.0,,,3.0,,,,"Easily ingest data into a Neo4j graph database with Python, pandas and Pydantic.",,,,https://pypi.org/project/neontology,52.0,52.0,5,True,3,,,,
